datetime,checkouts
2016-01-02,24763
2016-01-03,14212
2016-01-04,24704
2016-01-05,21140
2016-01-06,21135
2016-01-07,21210
2016-01-08,14540
2016-01-09,26861
2016-01-10,14955
2016-01-11,23004
2016-01-12,19043
2016-01-13,21490
2016-01-14,18827
2016-01-15,14394
2016-01-16,23539
2016-01-17,15927
2016-01-18,4
2016-01-19,24437
2016-01-20,21126
2016-01-21,17916
2016-01-22,15671
2016-01-23,26270
2016-01-24,16338
2016-01-25,22572
2016-01-26,20102
2016-01-27,20751
2016-01-28,20423
2016-01-29,14685
2016-01-30,25014
2016-01-31,16477
2016-02-01,21341
2016-02-02,19631
2016-02-03,18779
2016-02-04,20346
2016-02-05,13833
2016-02-06,10756
2016-02-07,13508
2016-02-08,19860
2016-02-09,19114
2016-02-10,19797
2016-02-11,19403
2016-02-12,14471
2016-02-13,24519
2016-02-14,15124
2016-02-15,0
2016-02-16,27914
2016-02-17,20579
2016-02-18,19897
2016-02-19,14824
2016-02-20,24956
2016-02-21,16903
2016-02-22,22293
2016-02-23,19045
2016-02-24,19787
2016-02-25,19726
2016-02-26,14687
2016-02-27,25639
2016-02-28,15769
2016-02-29,21318
2016-03-01,18186
2016-03-02,20868
2016-03-03,19219
2016-03-04,13964
2016-03-05,23100
2016-03-06,16452
2016-03-07,22386
2016-03-08,19287
2016-03-09,17642
2016-03-10,19888
2016-03-11,13858
2016-03-12,24038
2016-03-13,14203
2016-03-14,23015
2016-03-15,20236
2016-03-16,19082
2016-03-17,17794
2016-03-18,13414
2016-03-19,22602
2016-03-20,15391
2016-03-21,22202
2016-03-22,19273
2016-03-23,20254
2016-03-24,19372
2016-03-25,12807
2016-03-26,21705
2016-03-27,10128
2016-03-28,24066
2016-03-29,16888
2016-03-30,17013
2016-03-31,17192
2016-04-01,12440
2016-04-02,20845
2016-04-03,12985
2016-04-04,22866
2016-04-05,19135
2016-04-06,18674
2016-04-07,16838
2016-04-08,13010
2016-04-09,20755
2016-04-10,13610
2016-04-11,23026
