dewey,deweySubject
0,Computer Science
1,Computer Science
2,Computer Science
3,Computer Science
4,Computer Science
5,Computer Science
6,Computer Science
7,Computer Science
8,Computer Science
9,Computer Science
10,Computer Science
11,Computer Science
12,Computer Science
13,Computer Science
14,Computer Science
15,Computer Science
16,Computer Science
17,Computer Science
18,Computer Science
19,Computer Science
20,Computer Science
21,Computer Science
22,Computer Science
23,Computer Science
24,Computer Science
25,Computer Science
26,Computer Science
27,Computer Science
28,Computer Science
29,Computer Science
30,Computer Science
31,Computer Science
32,Computer Science
33,Computer Science
34,Computer Science
35,Computer Science
36,Computer Science
37,Computer Science
38,Computer Science
39,Computer Science
40,Computer Science
41,Computer Science
42,Computer Science
43,Computer Science
44,Computer Science
45,Computer Science
46,Computer Science
47,Computer Science
48,Computer Science
49,Computer Science
50,Computer Science
51,Computer Science
52,Computer Science
53,Computer Science
54,Computer Science
55,Computer Science
56,Computer Science
57,Computer Science
58,Computer Science
59,Computer Science
60,Computer Science
61,Computer Science
62,Computer Science
63,Computer Science
64,Computer Science
65,Computer Science
66,Computer Science
67,Computer Science
68,Computer Science
69,Computer Science
70,Computer Science
71,Computer Science
72,Computer Science
73,Computer Science
74,Computer Science
75,Computer Science
76,Computer Science
77,Computer Science
78,Computer Science
79,Computer Science
80,Computer Science
81,Computer Science
82,Computer Science
83,Computer Science
84,Computer Science
85,Computer Science
86,Computer Science
87,Computer Science
88,Computer Science
89,Computer Science
90,Computer Science
91,Computer Science
92,Computer Science
93,Computer Science
94,Computer Science
95,Computer Science
96,Computer Science
97,Computer Science
98,Computer Science
99,Computer Science
100,Philosophy & Psychology
101,Philosophy & Psychology
102,Philosophy & Psychology
103,Philosophy & Psychology
104,Philosophy & Psychology
105,Philosophy & Psychology
106,Philosophy & Psychology
107,Philosophy & Psychology
108,Philosophy & Psychology
109,Philosophy & Psychology
110,Philosophy & Psychology
111,Philosophy & Psychology
112,Philosophy & Psychology
113,Philosophy & Psychology
114,Philosophy & Psychology
115,Philosophy & Psychology
116,Philosophy & Psychology
117,Philosophy & Psychology
118,Philosophy & Psychology
119,Philosophy & Psychology
120,Philosophy & Psychology
121,Philosophy & Psychology
122,Philosophy & Psychology
123,Philosophy & Psychology
124,Philosophy & Psychology
125,Philosophy & Psychology
126,Philosophy & Psychology
127,Philosophy & Psychology
128,Philosophy & Psychology
129,Philosophy & Psychology
130,Philosophy & Psychology
131,Philosophy & Psychology
132,Philosophy & Psychology
133,Philosophy & Psychology
134,Philosophy & Psychology
135,Philosophy & Psychology
136,Philosophy & Psychology
137,Philosophy & Psychology
138,Philosophy & Psychology
139,Philosophy & Psychology
140,Philosophy & Psychology
141,Philosophy & Psychology
142,Philosophy & Psychology
143,Philosophy & Psychology
144,Philosophy & Psychology
145,Philosophy & Psychology
146,Philosophy & Psychology
147,Philosophy & Psychology
148,Philosophy & Psychology
149,Philosophy & Psychology
150,Philosophy & Psychology
151,Philosophy & Psychology
152,Philosophy & Psychology
153,Philosophy & Psychology
154,Philosophy & Psychology
155,Philosophy & Psychology
156,Philosophy & Psychology
157,Philosophy & Psychology
158,Philosophy & Psychology
159,Philosophy & Psychology
160,Philosophy & Psychology
161,Philosophy & Psychology
162,Philosophy & Psychology
163,Philosophy & Psychology
164,Philosophy & Psychology
165,Philosophy & Psychology
166,Philosophy & Psychology
167,Philosophy & Psychology
168,Philosophy & Psychology
169,Philosophy & Psychology
170,Philosophy & Psychology
171,Philosophy & Psychology
172,Philosophy & Psychology
173,Philosophy & Psychology
174,Philosophy & Psychology
175,Philosophy & Psychology
176,Philosophy & Psychology
177,Philosophy & Psychology
178,Philosophy & Psychology
179,Philosophy & Psychology
180,Philosophy & Psychology
181,Philosophy & Psychology
182,Philosophy & Psychology
183,Philosophy & Psychology
184,Philosophy & Psychology
185,Philosophy & Psychology
186,Philosophy & Psychology
187,Philosophy & Psychology
188,Philosophy & Psychology
189,Philosophy & Psychology
190,Philosophy & Psychology
191,Philosophy & Psychology
192,Philosophy & Psychology
193,Philosophy & Psychology
194,Philosophy & Psychology
195,Philosophy & Psychology
196,Philosophy & Psychology
197,Philosophy & Psychology
198,Philosophy & Psychology
199,Philosophy & Psychology
200,Religion
201,Religion
202,Religion
203,Religion
204,Religion
205,Religion
206,Religion
207,Religion
208,Religion
209,Religion
210,Religion
211,Religion
212,Religion
213,Religion
214,Religion
215,Religion
216,Religion
217,Religion
218,Religion
219,Religion
220,Religion
221,Religion
222,Religion
223,Religion
224,Religion
225,Religion
226,Religion
227,Religion
228,Religion
229,Religion
230,Religion
231,Religion
232,Religion
233,Religion
234,Religion
235,Religion
236,Religion
237,Religion
238,Religion
239,Religion
240,Religion
241,Religion
242,Religion
243,Religion
244,Religion
245,Religion
246,Religion
247,Religion
248,Religion
249,Religion
250,Religion
251,Religion
252,Religion
253,Religion
254,Religion
255,Religion
256,Religion
257,Religion
258,Religion
259,Religion
260,Religion
261,Religion
262,Religion
263,Religion
264,Religion
265,Religion
266,Religion
267,Religion
268,Religion
269,Religion
270,Religion
271,Religion
272,Religion
273,Religion
274,Religion
275,Religion
276,Religion
277,Religion
278,Religion
279,Religion
280,Religion
281,Religion
282,Religion
283,Religion
284,Religion
285,Religion
286,Religion
287,Religion
288,Religion
289,Religion
290,Religion
291,Religion
292,Religion
293,Religion
294,Religion
295,Religion
296,Religion
297,Religion
298,Religion
299,Religion
300,Social Sciences
301,Social Sciences
302,Social Sciences
303,Social Sciences
304,Social Sciences
305,Social Sciences
306,Social Sciences
307,Social Sciences
308,Social Sciences
309,Social Sciences
310,Social Sciences
311,Social Sciences
312,Social Sciences
313,Social Sciences
314,Social Sciences
315,Social Sciences
316,Social Sciences
317,Social Sciences
318,Social Sciences
319,Social Sciences
320,Social Sciences
321,Social Sciences
322,Social Sciences
323,Social Sciences
324,Social Sciences
325,Social Sciences
326,Social Sciences
327,Social Sciences
328,Social Sciences
329,Social Sciences
330,Social Sciences
331,Social Sciences
332,Social Sciences
333,Social Sciences
334,Social Sciences
335,Social Sciences
336,Social Sciences
337,Social Sciences
338,Social Sciences
339,Social Sciences
340,Social Sciences
341,Social Sciences
342,Social Sciences
343,Social Sciences
344,Social Sciences
345,Social Sciences
346,Social Sciences
347,Social Sciences
348,Social Sciences
349,Social Sciences
350,Social Sciences
351,Social Sciences
352,Social Sciences
353,Social Sciences
354,Social Sciences
355,Social Sciences
356,Social Sciences
357,Social Sciences
358,Social Sciences
359,Social Sciences
360,Social Sciences
361,Social Sciences
362,Social Sciences
363,Social Sciences
364,Social Sciences
365,Social Sciences
366,Social Sciences
367,Social Sciences
368,Social Sciences
369,Social Sciences
370,Social Sciences
371,Social Sciences
372,Social Sciences
373,Social Sciences
374,Social Sciences
375,Social Sciences
376,Social Sciences
377,Social Sciences
378,Social Sciences
379,Social Sciences
380,Social Sciences
381,Social Sciences
382,Social Sciences
383,Social Sciences
384,Social Sciences
385,Social Sciences
386,Social Sciences
387,Social Sciences
388,Social Sciences
389,Social Sciences
390,Social Sciences
391,Social Sciences
392,Social Sciences
393,Social Sciences
394,Social Sciences
395,Social Sciences
396,Social Sciences
397,Social Sciences
398,Social Sciences
399,Social Sciences
400,Language
401,Language
402,Language
403,Language
404,Language
405,Language
406,Language
407,Language
408,Language
409,Language
410,Language
411,Language
412,Language
413,Language
414,Language
415,Language
416,Language
417,Language
418,Language
419,Language
420,Language
421,Language
422,Language
423,Language
424,Language
425,Language
426,Language
427,Language
428,Language
429,Language
430,Language
431,Language
432,Language
433,Language
434,Language
435,Language
436,Language
437,Language
438,Language
439,Language
440,Language
441,Language
442,Language
443,Language
444,Language
445,Language
446,Language
447,Language
448,Language
449,Language
450,Language
451,Language
452,Language
453,Language
454,Language
455,Language
456,Language
457,Language
458,Language
459,Language
460,Language
461,Language
462,Language
463,Language
464,Language
465,Language
466,Language
467,Language
468,Language
469,Language
470,Language
471,Language
472,Language
473,Language
474,Language
475,Language
476,Language
477,Language
478,Language
479,Language
480,Language
481,Language
482,Language
483,Language
484,Language
485,Language
486,Language
487,Language
488,Language
489,Language
490,Language
491,Language
492,Language
493,Language
494,Language
495,Language
496,Language
497,Language
498,Language
499,Language
500,Pure Science
501,Pure Science
502,Pure Science
503,Pure Science
504,Pure Science
505,Pure Science
506,Pure Science
507,Pure Science
508,Pure Science
509,Pure Science
510,Pure Science
511,Pure Science
512,Pure Science
513,Pure Science
514,Pure Science
515,Pure Science
516,Pure Science
517,Pure Science
518,Pure Science
519,Pure Science
520,Pure Science
521,Pure Science
522,Pure Science
523,Pure Science
524,Pure Science
525,Pure Science
526,Pure Science
527,Pure Science
528,Pure Science
529,Pure Science
530,Pure Science
531,Pure Science
532,Pure Science
533,Pure Science
534,Pure Science
535,Pure Science
536,Pure Science
537,Pure Science
538,Pure Science
539,Pure Science
540,Pure Science
541,Pure Science
542,Pure Science
543,Pure Science
544,Pure Science
545,Pure Science
546,Pure Science
547,Pure Science
548,Pure Science
549,Pure Science
550,Pure Science
551,Pure Science
552,Pure Science
553,Pure Science
554,Pure Science
555,Pure Science
556,Pure Science
557,Pure Science
558,Pure Science
559,Pure Science
560,Pure Science
561,Pure Science
562,Pure Science
563,Pure Science
564,Pure Science
565,Pure Science
566,Pure Science
567,Pure Science
568,Pure Science
569,Pure Science
570,Pure Science
571,Pure Science
572,Pure Science
573,Pure Science
574,Pure Science
575,Pure Science
576,Pure Science
577,Pure Science
578,Pure Science
579,Pure Science
580,Pure Science
581,Pure Science
582,Pure Science
583,Pure Science
584,Pure Science
585,Pure Science
586,Pure Science
587,Pure Science
588,Pure Science
589,Pure Science
590,Pure Science
591,Pure Science
592,Pure Science
593,Pure Science
594,Pure Science
595,Pure Science
596,Pure Science
597,Pure Science
598,Pure Science
599,Pure Science
600,Technology
601,Technology
602,Technology
603,Technology
604,Technology
605,Technology
606,Technology
607,Technology
608,Technology
609,Technology
610,Technology
611,Technology
612,Technology
613,Technology
614,Technology
615,Technology
616,Technology
617,Technology
618,Technology
619,Technology
620,Technology
621,Technology
622,Technology
623,Technology
624,Technology
625,Technology
626,Technology
627,Technology
628,Technology
629,Technology
630,Technology
631,Technology
632,Technology
633,Technology
634,Technology
635,Technology
636,Technology
637,Technology
638,Technology
639,Technology
640,Technology
641,Technology
642,Technology
643,Technology
644,Technology
645,Technology
646,Technology
647,Technology
648,Technology
649,Technology
650,Technology
651,Technology
652,Technology
653,Technology
654,Technology
655,Technology
656,Technology
657,Technology
658,Technology
659,Technology
660,Technology
661,Technology
662,Technology
663,Technology
664,Technology
665,Technology
666,Technology
667,Technology
668,Technology
669,Technology
670,Technology
671,Technology
672,Technology
673,Technology
674,Technology
675,Technology
676,Technology
677,Technology
678,Technology
679,Technology
680,Technology
681,Technology
682,Technology
683,Technology
684,Technology
685,Technology
686,Technology
687,Technology
688,Technology
689,Technology
690,Technology
691,Technology
692,Technology
693,Technology
694,Technology
695,Technology
696,Technology
697,Technology
698,Technology
699,Technology
700,Arts & Recreation
701,Arts & Recreation
702,Arts & Recreation
703,Arts & Recreation
704,Arts & Recreation
705,Arts & Recreation
706,Arts & Recreation
707,Arts & Recreation
708,Arts & Recreation
709,Arts & Recreation
710,Arts & Recreation
711,Arts & Recreation
712,Arts & Recreation
713,Arts & Recreation
714,Arts & Recreation
715,Arts & Recreation
716,Arts & Recreation
717,Arts & Recreation
718,Arts & Recreation
719,Arts & Recreation
720,Arts & Recreation
721,Arts & Recreation
722,Arts & Recreation
723,Arts & Recreation
724,Arts & Recreation
725,Arts & Recreation
726,Arts & Recreation
727,Arts & Recreation
728,Arts & Recreation
729,Arts & Recreation
730,Arts & Recreation
731,Arts & Recreation
732,Arts & Recreation
733,Arts & Recreation
734,Arts & Recreation
735,Arts & Recreation
736,Arts & Recreation
737,Arts & Recreation
738,Arts & Recreation
739,Arts & Recreation
740,Arts & Recreation
741,Arts & Recreation
742,Arts & Recreation
743,Arts & Recreation
744,Arts & Recreation
745,Arts & Recreation
746,Arts & Recreation
747,Arts & Recreation
748,Arts & Recreation
749,Arts & Recreation
750,Arts & Recreation
751,Arts & Recreation
752,Arts & Recreation
753,Arts & Recreation
754,Arts & Recreation
755,Arts & Recreation
756,Arts & Recreation
757,Arts & Recreation
758,Arts & Recreation
759,Arts & Recreation
760,Arts & Recreation
761,Arts & Recreation
762,Arts & Recreation
763,Arts & Recreation
764,Arts & Recreation
765,Arts & Recreation
766,Arts & Recreation
767,Arts & Recreation
768,Arts & Recreation
769,Arts & Recreation
770,Arts & Recreation
771,Arts & Recreation
772,Arts & Recreation
773,Arts & Recreation
774,Arts & Recreation
775,Arts & Recreation
776,Arts & Recreation
777,Arts & Recreation
778,Arts & Recreation
779,Arts & Recreation
780,Arts & Recreation
781,Arts & Recreation
782,Arts & Recreation
783,Arts & Recreation
784,Arts & Recreation
785,Arts & Recreation
786,Arts & Recreation
787,Arts & Recreation
788,Arts & Recreation
789,Arts & Recreation
790,Arts & Recreation
791,Arts & Recreation
792,Arts & Recreation
793,Arts & Recreation
794,Arts & Recreation
795,Arts & Recreation
796,Arts & Recreation
797,Arts & Recreation
798,Arts & Recreation
799,Arts & Recreation
800,Literature
801,Literature
802,Literature
803,Literature
804,Literature
805,Literature
806,Literature
807,Literature
808,Literature
809,Literature
810,Literature
811,Literature
812,Literature
813,Literature
814,Literature
815,Literature
816,Literature
817,Literature
818,Literature
819,Literature
820,Literature
821,Literature
822,Literature
823,Literature
824,Literature
825,Literature
826,Literature
827,Literature
828,Literature
829,Literature
830,Literature
831,Literature
832,Literature
833,Literature
834,Literature
835,Literature
836,Literature
837,Literature
838,Literature
839,Literature
840,Literature
841,Literature
842,Literature
843,Literature
844,Literature
845,Literature
846,Literature
847,Literature
848,Literature
849,Literature
850,Literature
851,Literature
852,Literature
853,Literature
854,Literature
855,Literature
856,Literature
857,Literature
858,Literature
859,Literature
860,Literature
861,Literature
862,Literature
863,Literature
864,Literature
865,Literature
866,Literature
867,Literature
868,Literature
869,Literature
870,Literature
871,Literature
872,Literature
873,Literature
874,Literature
875,Literature
876,Literature
877,Literature
878,Literature
879,Literature
880,Literature
881,Literature
882,Literature
883,Literature
884,Literature
885,Literature
886,Literature
887,Literature
888,Literature
889,Literature
890,Literature
891,Literature
892,Literature
893,Literature
894,Literature
895,Literature
896,Literature
897,Literature
898,Literature
899,Literature
900,History & Geography
901,History & Geography
902,History & Geography
903,History & Geography
904,History & Geography
905,History & Geography
906,History & Geography
907,History & Geography
908,History & Geography
909,History & Geography
910,History & Geography
911,History & Geography
912,History & Geography
913,History & Geography
914,History & Geography
915,History & Geography
916,History & Geography
917,History & Geography
918,History & Geography
919,History & Geography
920,History & Geography
921,History & Geography
922,History & Geography
923,History & Geography
924,History & Geography
925,History & Geography
926,History & Geography
927,History & Geography
928,History & Geography
929,History & Geography
930,History & Geography
931,History & Geography
932,History & Geography
